time,open,high,low,close,volume
2024-11-01 10:13:00,207.5066,207.5661,207.4073,207.5661,12963
2024-11-01 10:14:00,207.5314,207.5959,207.4371,207.4966,8675
2024-11-01 10:15:00,207.4669,207.5661,207.3875,207.4768,4958
2024-11-01 10:16:00,207.5561,207.5561,207.3329,207.3329,4328
2024-11-01 10:17:00,207.3677,207.4272,207.2784,207.3577,3682
2024-11-01 10:18:00,207.4272,207.4966,207.3577,207.4123,4240
2024-11-01 10:19:00,207.4570,207.5165,207.3925,207.4173,4386
2024-11-01 10:20:00,207.4470,207.5066,207.4421,207.4818,4000
2024-11-01 10:21:00,207.4669,207.5562,207.4669,207.5066,4606
2024-11-01 10:22:00,207.4966,207.5661,207.4818,207.5562,6293
2024-11-01 10:23:00,207.5363,207.5462,207.3478,207.4222,6025
2024-11-01 10:24:00,207.4222,207.5562,207.4222,207.4570,5020
2024-11-01 10:25:00,207.4570,207.5661,207.4173,207.5661,4523
2024-11-01 10:26:00,207.5314,207.5859,207.4818,207.5760,3855
2024-11-01 10:27:00,207.5760,207.6752,207.5071,207.6752,7013
2024-11-01 10:28:00,207.6256,207.6703,207.5662,207.6207,3581
2024-11-01 10:29:00,207.6455,207.8637,207.6207,207.8637,15271
2024-11-01 10:30:00,207.8786,207.9040,207.6952,207.7447,6232
2024-11-01 10:31:00,207.7447,207.9133,207.7447,207.9034,5435
2024-11-01 10:32:00,207.8290,207.8290,207.7496,207.7893,3745
2024-11-01 10:33:00,207.7893,207.8240,207.7447,207.7645,6549
2024-11-01 10:34:00,207.7496,207.8240,207.6752,207.8240,10112
2024-11-01 10:35:00,207.7744,207.8042,207.7447,207.7707,3673
2024-11-01 10:36:00,207.7943,207.7943,207.6058,207.6455,8776
2024-11-01 10:37:00,207.6355,207.6554,207.5363,207.6008,3234
2024-11-01 10:38:00,207.5859,207.6256,207.5462,207.5661,5498
2024-11-01 10:39:00,207.6157,207.6157,207.5165,207.5165,5422
2024-11-01 10:40:00,207.5115,207.5759,207.2387,207.2387,8025
2024-11-01 10:41:00,207.2178,207.2178,207.0303,207.0353,2759
2024-11-01 10:42:00,207.1097,207.1097,207.0651,207.0998,2426
2024-11-01 10:43:00,207.0303,207.0353,206.8213,207.0006,4919
2024-11-01 10:44:00,206.9311,206.9906,206.9311,206.9311,3054
2024-11-01 10:45:00,207.0006,207.0105,206.9658,207.0105,1404
2024-11-01 10:46:00,207.0303,207.0303,206.8121,206.9311,12568
2024-11-01 10:47:00,206.9113,206.9410,206.8716,206.9410,3404
2024-11-01 10:48:00,206.8617,206.9510,206.8617,206.9510,3076
2024-11-01 10:49:00,206.9217,207.0998,206.9217,207.0899,4239
2024-11-01 10:50:00,207.2088,207.2088,206.9758,206.9758,5375
2024-11-01 10:51:00,206.9708,207.1395,206.9708,207.1395,1466
2024-11-01 10:52:00,207.0601,207.3429,207.0403,207.3429,5101
2024-11-01 10:53:00,207.2387,207.2387,207.1494,207.1957,2833
2024-11-01 10:54:00,207.2089,207.3230,207.1315,207.2486,3360
2024-11-01 10:55:00,207.2981,207.3280,207.1593,207.3081,2537
2024-11-01 10:56:00,207.2188,207.3500,207.2090,207.3500,3769
2024-11-01 10:57:00,207.3677,207.5363,207.3677,207.5363,2314
2024-11-01 10:58:00,207.5810,207.6554,207.5661,207.5661,2231
2024-11-01 10:59:00,207.5661,207.6354,207.5165,207.6157,5352
2024-11-01 11:00:00,207.5662,207.7744,207.5662,207.7744,3421
2024-11-01 11:01:00,207.7943,207.7943,207.7050,207.7508,4114
2024-11-01 11:02:00,207.7744,207.7744,207.6851,207.7447,4106
2024-11-01 11:03:00,207.7645,207.7794,207.6951,207.7348,9381
2024-11-01 11:04:00,207.7397,207.8042,207.6851,207.7348,1919
2024-11-01 11:05:00,207.7645,207.7645,207.6554,207.6554,5591
2024-11-01 11:06:00,207.6653,207.7248,207.6355,207.7248,4613
2024-11-01 11:07:00,207.7734,207.7844,207.7050,207.7248,6383
